speaker_id,cluster_label,new_group_label,most_common_emotion
0011,0,3,Neutral
0011,3,3,Happy
0011,2,3,Sad
0011,1,3,Surprise
0011,4,3,Angry
0017,1,4,Neutral
0017,4,4,Surprise
0017,2,4,Angry
0017,0,4,Happy
0017,3,4,Sad
0018,2,1,Surprise
0018,1,1,Neutral
0018,4,1,Angry
0018,0,1,Sad
0018,3,1,Happy
0020,3,2,Angry
0020,1,2,Sad
0020,2,2,Happy
0020,4,2,Surprise
0020,0,2,Neutral
0012,0,3,Neutral
0012,1,3,Angry
0012,3,3,Happy
0012,2,3,Sad
0012,4,3,Surprise
0016,2,1,Angry
0016,1,1,Surprise
0016,0,1,Sad
0016,3,1,Neutral
0016,4,1,Happy
0015,0,1,Surprise
0015,1,1,Neutral
0015,3,1,Sad
0015,2,1,Angry
0015,4,1,Happy
0014,0,0,Neutral
0014,2,0,Surprise
0014,4,0,Happy
0014,1,0,Sad
0014,3,0,Angry
