speaker_id,cluster_label,group,most_common_emotion
0011,0,1,Neutral
0011,3,4,Happy
0011,2,0,Sad
0011,1,3,Surprise
0011,4,2,Angry
0017,1,0,Neutral
0017,4,3,Surprise
0017,2,4,Angry
0017,0,1,Happy
0017,3,2,Sad
0018,2,2,Surprise
0018,1,0,Neutral
0018,4,1,Angry
0018,0,3,Sad
0018,3,4,Happy
0020,3,4,Angry
0020,1,3,Sad
0020,2,0,Happy
0020,4,1,Surprise
0020,0,2,Neutral
0012,0,1,Neutral
0012,1,4,Angry
0012,3,2,Happy
0012,2,0,Sad
0012,4,3,Surprise
0016,2,4,Angry
0016,1,3,Surprise
0016,0,2,Sad
0016,3,0,Neutral
0016,4,1,Happy
0015,0,3,Surprise
0015,1,2,Neutral
0015,3,0,Sad
0015,2,4,Angry
0015,4,1,Happy
0014,0,1,Neutral
0014,2,2,Surprise
0014,4,0,Happy
0014,1,4,Sad
0014,3,3,Angry
