speaker_id,cluster_label,euclid_distance,cosine_similarity,most_common_emotion
0011,0,76.717758,0.939740,Neutral
0011,3,59.910645,0.963515,Happy
0011,2,101.318489,0.898353,Sad
0011,1,84.509819,0.922593,Surprise
0011,4,91.972946,0.910044,Angry
0017,1,93.469780,0.897263,Neutral
0017,4,84.501747,0.911741,Surprise
0017,2,96.454536,0.875879,Angry
0017,0,113.181381,0.838977,Happy
0017,3,136.207703,0.799442,Sad
0018,2,103.128036,0.902018,Surprise
0018,1,80.463470,0.950891,Neutral
0018,4,85.212738,0.937640,Angry
0018,0,99.991814,0.921847,Sad
0018,3,78.693314,0.952493,Happy
0020,3,91.785530,0.894112,Angry
0020,1,116.874962,0.884320,Sad
0020,2,71.629158,0.944593,Happy
0020,4,92.176628,0.901008,Surprise
0020,0,72.235588,0.952477,Neutral
0012,0,104.401138,0.907395,Neutral
0012,1,67.538902,0.957260,Angry
0012,3,78.799736,0.944270,Happy
0012,2,145.780136,0.778792,Sad
0012,4,98.307571,0.893501,Surprise
0016,2,94.084137,0.915820,Angry
0016,1,88.495300,0.921570,Surprise
0016,0,134.863464,0.847438,Sad
0016,3,62.410046,0.962364,Neutral
0016,4,79.537743,0.935418,Happy
0015,0,99.241585,0.904660,Surprise
0015,1,95.115044,0.943029,Neutral
0015,3,105.620071,0.906123,Sad
0015,2,94.437683,0.925871,Angry
0015,4,64.093651,0.963774,Happy
0014,0,88.768059,0.943609,Neutral
0014,2,74.803444,0.957783,Surprise
0014,4,80.643028,0.942975,Happy
0014,1,103.200378,0.920808,Sad
0014,3,78.845398,0.950592,Angry
